dps,mean,population,country,pop_n,species,year
30,0.031584151443236036,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
30,0.0317828703320268,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
30,0.03152267725461732,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
35,0.032399781302593474,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
35,0.03262771981013477,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
35,0.03258655944230865,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
35,0.032539519021935935,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
35,0.032541594334599445,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
40,0.03340548331587049,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
40,0.03323958989690153,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
40,0.033365440076809014,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
40,0.03357978918002042,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
40,0.03334928818206153,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
45,0.03392974618325969,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
45,0.033880779345658425,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
45,0.03430077678494986,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
45,0.03413645853796573,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
45,0.03417227991580828,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
50,0.03474023918876471,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
50,0.034629179101289743,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
50,0.034821683252913016,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
50,0.034802368455091284,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
50,0.03472929413666573,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
55,0.03559672895938375,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
55,0.035471566430367585,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
55,0.03547219856435251,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
55,0.035362523317967146,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
55,0.03535556984413291,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
60,0.03594013190583745,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
60,0.035921477051264576,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
60,0.036082841543319866,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
60,0.036039002635073626,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
60,0.0359015785397202,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
65,0.03645659762330724,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
65,0.03670961953364427,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
65,0.036645598251246636,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
65,0.036609145942130286,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
65,0.03668358216998973,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
70,0.03702228068403824,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
70,0.03708694947891212,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
70,0.03708664728828186,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
70,0.03704101650311385,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
70,0.03708997138521463,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
75,0.03754191255719978,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
75,0.03753743589184461,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
75,0.037555044108908295,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
75,0.037491773905221834,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
75,0.03753773433620163,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
80,0.03798284261537025,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
80,0.037981072472407874,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
80,0.037958650661551005,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
80,0.03798638290129503,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
80,0.03796632128105467,BUF_1_coluzzii_2012,BUF,1,coluzzii,2012
10,0.02536591615043134,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
10,0.025279006353453287,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
10,0.025357929844763084,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
10,0.025375311804158696,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
10,0.025232028084816505,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
15,0.027380820959015062,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
15,0.02736988276614225,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
15,0.027491044287194986,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
15,0.027252086842896532,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
15,0.02741195273873,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
20,0.028883764007723495,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
20,0.02892373068925084,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
20,0.02900013758040605,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
20,0.029045198054677063,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
20,0.028974668616687644,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
25,0.030176483652137907,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
25,0.030182437089109962,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
25,0.030203274118512174,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
25,0.0301046703186624,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
25,0.030153786173681918,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
30,0.031333608383807415,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
30,0.031272134195188685,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
30,0.03134433062600835,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
30,0.03125891009647419,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
30,0.031261411952987754,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
35,0.03218809941091627,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
35,0.032168038055169074,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
35,0.03223513983128897,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
35,0.03221404081921004,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
35,0.032271111917456345,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
40,0.032984188061206926,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
40,0.032926646936169014,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
40,0.03306696652178779,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
40,0.032986207048050366,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
40,0.032995628986653064,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
45,0.03375655475093841,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
45,0.03375524020496254,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
45,0.03372993519492699,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
45,0.03375524020496254,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
45,0.03373650792480635,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
50,0.034384203082250764,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
50,0.034419613544923934,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
50,0.034361991064755765,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
50,0.034408346579527925,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
50,0.034361991064755765,BUF_1_coluzzii_2014,BUF,1,coluzzii,2014
10,0.027312695602739655,BUF_1_gambiae_2012,BUF,1,gambiae,2012
10,0.0268344568280172,BUF_1_gambiae_2012,BUF,1,gambiae,2012
10,0.02690351488291327,BUF_1_gambiae_2012,BUF,1,gambiae,2012
10,0.027136996878038083,BUF_1_gambiae_2012,BUF,1,gambiae,2012
10,0.026912440753954256,BUF_1_gambiae_2012,BUF,1,gambiae,2012
15,0.02938882075062865,BUF_1_gambiae_2012,BUF,1,gambiae,2012
15,0.029443091015266862,BUF_1_gambiae_2012,BUF,1,gambiae,2012
15,0.02936568226570539,BUF_1_gambiae_2012,BUF,1,gambiae,2012
15,0.029287011416966283,BUF_1_gambiae_2012,BUF,1,gambiae,2012
15,0.030073299204631445,BUF_1_gambiae_2012,BUF,1,gambiae,2012
20,0.03152979342295998,BUF_1_gambiae_2012,BUF,1,gambiae,2012
20,0.0317515693224156,BUF_1_gambiae_2012,BUF,1,gambiae,2012
20,0.03151843034683946,BUF_1_gambiae_2012,BUF,1,gambiae,2012
20,0.031412636189855334,BUF_1_gambiae_2012,BUF,1,gambiae,2012
20,0.031088592605315043,BUF_1_gambiae_2012,BUF,1,gambiae,2012
25,0.033125667492172974,BUF_1_gambiae_2012,BUF,1,gambiae,2012
25,0.03311413270803961,BUF_1_gambiae_2012,BUF,1,gambiae,2012
25,0.0332674337100702,BUF_1_gambiae_2012,BUF,1,gambiae,2012
25,0.0327948796504128,BUF_1_gambiae_2012,BUF,1,gambiae,2012
25,0.03304417982361788,BUF_1_gambiae_2012,BUF,1,gambiae,2012
30,0.03445235123198753,BUF_1_gambiae_2012,BUF,1,gambiae,2012
30,0.03379221852048298,BUF_1_gambiae_2012,BUF,1,gambiae,2012
30,0.03440338632593657,BUF_1_gambiae_2012,BUF,1,gambiae,2012
