derived_sample_id	seq_tech	ebi_sample_acc
AD0233-C	HiSeq	ERS150978
AD0234-C	HiSeq	ERS046831
AD0235-C	HiSeq	ERS046834
AD0236-C	HiSeq	ERS046836
AD0237-C	HiSeq	ERS046841
AD0238-C	HiSeq	ERS046827
AD0239-C	HiSeq	ERS046830
AD0240-C	HiSeq	ERS151017
AD0241-C	HiSeq	ERS046872
AD0242-C	HiSeq	ERS156813
AD0243-C	HiSeq	ERS046838
AD0244-C	HiSeq	ERS150951
AD0245-C	HiSeq	ERS046857
AD0246-C	HiSeq	ERS046856
AD0247-C	HiSeq	ERS156802
AD0248-C	HiSeq	ERS150924
AD0249-C	HiSeq	ERS150938
AD0250-C	HiSeq	ERS046847
AD0251-C	HiSeq	ERS046811
AD0252-C	HiSeq	ERS046849
AD0253-C	HiSeq	ERS151002
AD0254-C	HiSeq	ERS156487
AD0255-C	HiSeq	ERS156864
AD0256-C	HiSeq	ERS156815
AD0257-C	HiSeq	ERS156789
AD0258-C	HiSeq	ERS157520
AD0259-C	HiSeq	ERS156485
AD0260-C	HiSeq	ERS156430
AD0261-C	HiSeq	ERS156444
AD0262-C	HiSeq	ERS157512
AD0263-C	HiSeq	ERS156863
AD0264-C	HiSeq	ERS156495
AD0265-C	HiSeq	ERS157534
AD0266-C	HiSeq	ERS156850
AD0267-C	HiSeq	ERS156471
AD0268-C	HiSeq	ERS156870
AD0269-C	HiSeq	ERS156509
AD0270-C	HiSeq	ERS157516
AD0271-C	HiSeq	ERS157514
AD0272-C	HiSeq	ERS156788
AD0273-C	HiSeq	ERS156852
AD0274-C	HiSeq	ERS156516
AD0275-C	HiSeq	ERS156860
AD0276-C	HiSeq	ERS156504
AD0277-C	HiSeq	ERS151005
AD0278-C	HiSeq	ERS150962
AD0279-C	HiSeq	ERS150911
AD0280-C	HiSeq	ERS150963
AD0281-C	HiSeq	ERS151011
AD0282-C	HiSeq	ERS151020
AD0283-C	HiSeq	ERS150939
AD0284-C	HiSeq	ERS150912
AD0285-C	HiSeq	ERS150998
AD0286-C	HiSeq	ERS150953
AD0287-C	HiSeq	ERS150954
AD0288-C	HiSeq	ERS150989
AD0289-C	HiSeq	ERS150980
AD0290-C	HiSeq	ERS150981
AD0291-C	HiSeq	ERS150914
AD0292-C	HiSeq	ERS151019
AD0293-C	HiSeq	ERS150993
AD0294-C	HiSeq	ERS150965
AD0295-C	HiSeq	ERS150941
AD0296-C	HiSeq	ERS150942
AD0297-C	HiSeq	ERS150999
AD0298-C	HiSeq	ERS151022
AD0299-C	HiSeq	ERS150966
AD0300-C	HiSeq	ERS150944
AD0301-C	HiSeq	ERS150956
AD0302-C	HiSeq	ERS150957
AD0303-C	HiSeq	ERS156512
AD0304-C	HiSeq	ERS156832
AD0305-C	HiSeq	ERS156515
AD0306-C	HiSeq	ERS156857
AD0307-C	HiSeq	ERS156866
AD0308-C	HiSeq	ERS156871
AD0309-C	HiSeq	ERS156803
AD0310-C	HiSeq	ERS156461
AD0311-C	HiSeq	ERS156477
AD0312-C	HiSeq	ERS156466
AD0313-C	HiSeq	ERS156488
AD0314-C	HiSeq	ERS156474
AD0315-C	HiSeq	ERS156806
AD0316-C	HiSeq	ERS156518
AD0317-C	HiSeq	ERS156838
AD0318-C	HiSeq	ERS156844
AD0319-C	HiSeq	ERS156472
AD0320-C	HiSeq	ERS154450
AD0321-C	HiSeq	ERS176071
