description,chrom,cross_id,fdr,fpr,frac_accessible,tnr,tpr,youden
phase3,2L,29-2,0.004787508902867095,0.22749316603539554,0.7419799431423487,0.7725068339646044,0.847735189276857,0.6202420232414614
phase3,2L,36-9,0.0008304715957514645,0.06222753348081145,0.7419799431423487,0.9377724665191886,0.8352934487396806,0.773065915258869
phase3,2L,37-3,0.0010952008592843621,0.07297814584085822,0.7419799431423487,0.9270218541591417,0.833502051593842,0.7605239057529838
phase3,2L,42-4,0.00033931657938058793,0.043170247311407735,0.7419799431423487,0.9568297526885923,0.8244086085715356,0.7812383612601279
phase3,2L,45-1,0.0007753330614895407,0.06282140658385543,0.7419799431423487,0.9371785934161445,0.834052588936603,0.7712311823527473
phase3,2L,46-9,0.0013094574317979852,0.08871430655302608,0.7419799431423487,0.911285693446974,0.8428923272072205,0.7541780206541944
phase3,2L,47-6,0.0009267447221223041,0.07580557422162491,0.7419799431423487,0.9241944257783751,0.8342712053470126,0.7584656311253877
phase3,2L,73-2,0.0005394192886979738,0.04316540333804708,0.7419799431423487,0.9568345966619529,0.8375569890557244,0.7943915857176773
phase3,2L,78-2,0.0005118176399252963,0.04727374073892477,0.7419799431423487,0.9527262592610752,0.8322037446896415,0.7849300039507168
phase3,2L,80-2,0.0012054209324140323,0.09357127210342876,0.7419799431423487,0.9064287278965713,0.8410861582844095,0.7475148861809808
phase3,2L,B5,0.0005838231247896078,0.06497626764374716,0.7419799431423487,0.9350237323562528,0.8187509271207055,0.7537746594769583
phase3,2L,K2,0.0005711337978458004,0.053638358407962286,0.7419799431423487,0.9463616415920377,0.8285120568806389,0.7748736984726765
phase3,2L,K4,0.0004071005239822787,0.0482408499026374,0.7419799431423487,0.9517591500973626,0.8213632640370213,0.773122414134384
phase3,2L,K6,0.00041423731817538217,0.04596553050513072,0.7419799431423487,0.9540344694948693,0.835284080520505,0.7893185500153743
phase3,2R,18-5,0.0032528677449892352,0.2108786979641,0.7390312016707518,0.7891213020359,0.8365498804813774,0.6256711825172774
phase3,2R,29-2,0.004490751720912106,0.2709910398090828,0.7390312016707518,0.7290089601909172,0.8363461588030284,0.5653551189939456
phase3,2R,36-9,0.0007533569985489956,0.060214303405460815,0.7390312016707518,0.9397856965945391,0.8237552240647215,0.7635409206592607
phase3,2R,37-3,0.0009913410273319513,0.08659355341095276,0.7390312016707518,0.9134064465890472,0.8189810908412362,0.7323875374302835
phase3,2R,42-4,0.0003096346690935558,0.040801361635154514,0.7390312016707518,0.9591986383648455,0.8202439975089727,0.7794426358738182
