path	sample	reads	bases
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/0/4/1/b/1216212/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0223-C	85662134	8231192200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/f/7/7/0/1217119/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0054-C	67768709	6490469400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/3/1/4/6/1215641/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AJ0061-C	83630921	8032337200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/0/c/5/4/1215180/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AK0063-Cx	84445367	8117074200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/c/4/9/0/1216776/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0198-C	91779135	8749738800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/4/4/f/5/1215509/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0099-C	65687155	6194110200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/0/5/d/d/1216525/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0075-C	99923828	9605577600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/c/f/7/3/1215385/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AG0360-C	100453111	9634471400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/c/3/3/b/1216219/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0050-C	106367254	10273704000
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/2/d/d/a/1215612/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AG0306-C	92624255	8851104400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/8/c/e/c/1217161/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AJ0030-C	69625937	6695934800
