,kt_2La
AA0095-C,0
AA0120-C,1
AA0076-C,0
AA0043-C,1
AA0127-C,0
AA0069-C,1
AA0049-C,1
AA0133-C,2
AA0110-C,1
AA0099-C,0
AA0111-C,1
AA0090-C,0
AA0067-C,0
AA0117-C,0
AA0131-C,1
AA0096-C,0
AA0053-C,1
AA0102-C,0
AA0130-C,1
AA0132-C,1
AA0085-C,2
AA0048-C,2
AA0056-C,0
AA0068-C,0
AA0058-C,0
AA0073-C,0
AA0062-C,1
AA0074-C,0
AA0138-C,1
AA0091-C,1
AA0081-C,1
AA0082-C,0
AA0109-C,1
AA0122-C,0
AA0137-C,2
AA0140-C,1
AA0079-C,1
AA0080-C,2
AA0086-C,1
AA0136-C,0
AA0139-C,2
AA0057-C,1
AA0135-C,0
AA0124-C,1
AA0045-C,1
AA0072-C,2
AA0108-C,1
AG0147-C,2
AG0159-C,2
AG0232-C,0
AG0129-C,2
AG0153-C,2
AG0163-C,2
AG0200-C,1
AG0209-C,2
AG0229-C,0
AG0230-C,0
AG0098-C,2
AG0104-C,2
AG0106-C,2
AG0120-C,0
AG0136-C,0
AG0141-C,0
AG0145-C,2
AG0148-C,2
AG0172-C,0
AG0179-C,0
AG0223-C,2
AG0118-C,2
AG0119-C,2
AG0121-C,0
AG0133-C,0
AG0134-C,0
AG0138-C,2
AG0227-C,2
AG0231-C,2
AG0102-C,2
AG0108-C,2
AG0123-C,0
AG0128-C,0
AG0137-C,2
AG0139-C,0
AG0143-C,2
AG0162-C,2
AG0170-C,0
AG0181-C,2
AG0085-C,2
AG0096-C,2
AG0126-C,2
AG0152-C,2
AG0183-C,2
AG0208-C,0
AG0214-C,0
AG0226-C,2
AG0127-C,2
AG0130-C,0
AG0135-C,1
AG0144-C,2
AG0156-C,2
AG0206-C,0
AG0221-C,2
AG0234-C,0
AG0082-C,0
AG0097-C,2
AG0100-C,0
AG0109-C,0
AG0124-C,2
AG0142-C,0
AG0146-C,2
AG0169-C,0
AG0178-C,2
AG0195-C,2
AG0089-C,0
AG0111-C,0
AG0125-C,2
AG0197-C,0
AG0202-C,2
AG0203-C,0
AG0204-C,0
AG0225-C,0
AG0263-C,0
AG0382-CW,0
AG0383-CW,2
AG0386-CW,2
AG0390-CW,1
AG0394-CW,2
AG0395-CW,2
AG0396-CW,2
AG0403-CW,2
AG0404-CW,1
AG0405-CW,1
AG0406-CW,2
AG0410-CW,2
AG0411-CW,2
AG0412-CW,2
AG0415-CW,2
AG0416-CW,2
AG0418-CW,2
AG0420-CW,2
AG0422-CW,0
AG0423-CW,2
AG0442-CW,2
AG0443-CW,0
AG0445-CW,2
AG0446-CW,0
AG0448-CW,2
AG0450-CW,0
AG0451-CW,0
AG0454-CW,0
AG0455-CW,0
AG0456-CW,2
AG0460-CW,0
AG0001-C,0
AG0003-C,0
AG0004-C,2
AG0006-C,2
AG0010-C,0
AG0045-C,0
AG0047-C,0
AG0052-C,2
AG0055-C,0
AG0056-C,0
AG0058-C,2
AG0061-C,2
AG0002-C,2
AG0005-C,2
AG0014-C,0
AG0015-C,2
AG0018-C,0
AG0019-C,0
AG0024-C,0
AG0028-C,1
AG0049-C,2
AG0051-C,2
AG0064-C,1
AG0009-C,2
AG0035-C,0
AG0037-C,2
AG0038-C,0
AG0039-C,0
AG0043-C,2
AG0068-C,0
AG0071-C,0
AG0072-C,0
AG0074-C,2
AG0075-C,0
AG0077-C,2
AG0007-C,2
AG0012-C,1
AG0013-C,0
AG0016-C,1
AG0029-C,0
AG0031-C,0
AG0044-C,0
AG0054-C,2
AG0060-C,2
AG0063-C,0
AG0065-C,2
AG0069-C,2
AG0011-C,0
AG0020-C,2
AG0022-C,0
AG0023-C,2
AG0025-C,0
AG0027-C,2
AG0032-C,2
AG0048-C,2
AG0059-C,2
AG0062-C,0
AG0066-C,2
AG0076-C,0
AG0021-C,0
AG0033-C,2
AG0040-C,0
AG0041-C,2
AG0042-C,2
AG0050-C,0
AG0053-C,0
AG0067-C,2
AG0375-C,0
AG0290-C,0
AG0330-C,2
AG0314-C,2
AG0279-C,0
AG0289-C,1
AG0352-C,2
AG0356-C,2
AG0307-C,1
AG0359-C,0
AG0310-C,0
AG0293-C,2
AG0327-C,0
AG0337-C,2
AG0366-C,2
AG0270-C,2
AG0334-C,1
AG0273-C,2
AG0306-C,2
AG0329-C,2
AG0344-C,0
AG0296-C,0
AG0285-C,2
AG0304-C,0
AG0349-C,0
AG0320-C,1
AG0323-C,0
AG0373-C,2
AG0298-C,2
AG0369-C,2
AG0283-C,0
AG0275-C,2
AG0272-C,0
AG0299-C,0
AG0315-C,0
AG0353-C,1
AG0318-C,0
AG0317-C,0
AG0374-C,0
AG0360-C,2
AG0341-C,0
AG0302-C,2
AG0357-C,1
AG0284-C,2
AG0324-C,1
AG0342-C,0
AG0287-C,0
AG0351-C,0
AG0377-C,2
AG0281-C,0
AG0371-C,1
AG0277-C,0
AG0339-C,2
AG0336-C,0
AG0348-C,0
AG0295-C,0
AG0326-C,0
AG0319-C,2
AG0300-C,2
AG0367-C,0
AG0274-C,1
