description,chrom,cross_id,tpr,fpr,fdr,tnr,youden
phase3,3L,K6,0.9908655868760381,0.0013590733673418444,0.0003558757775538766,0.9986409266326581,0.9895065135086962
phase3,3R,18-5,0.9854960053120424,0.01448606042175357,0.0033242606528127608,0.9855139395782464,0.9710099448902887
phase3,3R,29-2,0.9839848070513543,0.019757970508444068,0.004508877583580208,0.9802420294915559,0.9642268365429101
phase3,3R,36-9,0.9858625588903073,0.0035121914340691964,0.0008403538384399774,0.9964878085659308,0.9823503674562382
phase3,3R,37-3,0.9865700533462716,0.004156537500107377,0.0010473773330661542,0.9958434624998926,0.9824135158461642
phase3,3R,42-4,0.9901772623819303,0.001457954523258044,0.0003655022574566519,0.998542045476742,0.9887193078586722
phase3,3R,45-1,0.9883565540086708,0.0028386334257352284,0.0006902693837386373,0.9971613665742648,0.9855179205829356
phase3,3R,46-9,0.9846610892985083,0.005336800225832181,0.0012499624182444459,0.9946631997741678,0.9793242890726761
phase3,3R,47-6,0.9879116771395392,0.0038799389648923005,0.0009400186926461787,0.9961200610351078,0.9840317381746471
phase3,3R,73-2,0.9879918649729285,0.0021486452198042467,0.0005168689785027796,0.9978513547801957,0.9858432197531242
phase3,3R,78-2,0.9895833478469773,0.0018842450670720173,0.00046208994997390493,0.998115754932928,0.9876991027799054
phase3,3R,80-2,0.9880593770146997,0.004943795266514122,0.0012023086144123958,0.9950562047334859,0.9831155817481856
phase3,3R,B5,0.9886378536085761,0.0028024316944989624,0.00067899851212197,0.997197568305501,0.9858354219140772
phase3,3R,K2,0.9876001243306868,0.002574681150870376,0.0006336068425425016,0.9974253188491297,0.9850254431798164
phase3,3R,K4,0.9889782510358619,0.0018673453462139116,0.00045880545882697295,0.9981326546537861,0.9871109056896481
phase3,3R,K6,0.9890822053731438,0.001765584064691955,0.00043232472539639556,0.998234415935308,0.9873166213084519
r100,2L,18-5,1.0,1.0,0.012429523030900932,0.0,0.0
r100,2L,29-2,1.0,1.0,0.017452074129753557,0.0,0.0
r100,2L,36-9,1.0,1.0,0.01093129511806067,0.0,0.0
r100,2L,37-3,1.0,1.0,0.012293587781061861,0.0,0.0
r100,2L,42-4,1.0,1.0,0.006382600304475431,0.0,0.0
r100,2L,45-1,1.0,1.0,0.010126605615822527,0.0,0.0
r100,2L,46-9,1.0,1.0,0.012193002531656913,0.0,0.0
r100,2L,47-6,1.0,1.0,0.010014104144074987,0.0,0.0
r100,2L,73-2,1.0,1.0,0.010295327735978601,0.0,0.0
r100,2L,78-2,1.0,1.0,0.008853809589815732,0.0,0.0
r100,2L,80-2,1.0,1.0,0.010635397271366046,0.0,0.0
r100,2L,B5,1.0,1.0,0.007267083290418024,0.0,0.0
r100,2L,K2,1.0,1.0,0.008669251562600075,0.0,0.0
r100,2L,K4,1.0,1.0,0.006825938800301595,0.0,0.0
r100,2L,K6,1.0,1.0,0.007422415940767541,0.0,0.0
r100,2R,18-5,1.0,1.0,0.012685591592188778,0.0,0.0
r100,2R,29-2,1.0,1.0,0.013627318866820342,0.0,0.0
r100,2R,36-9,1.0,1.0,0.010131441794932092,0.0,0.0
r100,2R,37-3,1.0,1.0,0.009260533039520862,0.0,0.0
r100,2R,42-4,1.0,1.0,0.006140524604632492,0.0,0.0
